source_row,row_text,A,B,C,D,E
315,299 | 012B | DamageSongRv,299,012B,DamageSongRv,,
316,300 | 012C | DamageBind | Hit by Mewtwo's Disable,300,012C,DamageBind,Hit by Mewtwo's Disable,
317,301 | 012D | CaptureMewtwo | Does not appear to be used,301,012D,CaptureMewtwo,Does not appear to be used,
318,302 | 012E | CaptureMewtwoAir | Does not appear to be used,302,012E,CaptureMewtwoAir,Does not appear to be used,
319,303 | 012F | ThrownMewtwo | Hit by Mewtwo's Confusion,303,012F,ThrownMewtwo,Hit by Mewtwo's Confusion,
320,304 | 0130 | ThrownMewtwoAir | Hit by Mewtwo's Confusion,304,0130,ThrownMewtwoAir,Hit by Mewtwo's Confusion,
321,305 | 0131 | WarpStarJump,305,0131,WarpStarJump,,
322,306 | 0132 | WarpStarFall,306,0132,WarpStarFall,,
323,307 | 0133 | HammerWait,307,0133,HammerWait,,
324,308 | 0134 | HammerWalk,308,0134,HammerWalk,,
325,309 | 0135 | HammerTurn,309,0135,HammerTurn,,
326,310 | 0136 | HammerKneeBend,310,0136,HammerKneeBend,,
327,311 | 0137 | HammerFall,311,0137,HammerFall,,
328,312 | 0138 | HammerJump,312,0138,HammerJump,,
329,313 | 0139 | HammerLanding,313,0139,HammerLanding,,
330,314 | 013A | KinokoGiantStart | Super/Poison mushroom states,314,013A,KinokoGiantStart,Super/Poison mushroom states,
331,315 | 013B | KinokoGiantStartAir,315,013B,KinokoGiantStartAir,,
332,316 | 013C | KinokoGiantEnd,316,013C,KinokoGiantEnd,,
333,317 | 013D | KinokoGiantEndAir,317,013D,KinokoGiantEndAir,,
334,318 | 013E | KinokoSmallStart,318,013E,KinokoSmallStart,,
335,319 | 013F | KinokoSmallStartAir,319,013F,KinokoSmallStartAir,,
336,320 | 0140 | KinokoSmallEnd,320,0140,KinokoSmallEnd,,
337,321 | 0141 | KinokoSmallEndAir,321,0141,KinokoSmallEndAir,,
338,322 | 0142 | Entry | Warp in at beginning of match.,322,0142,Entry,Warp in at beginning of match.,
339,323 | 0143 | EntryStart,323,0143,EntryStart,,
340,324 | 0144 | EntryEnd,324,0144,EntryEnd,,
341,325 | 0145 | DamageIce,325,0145,DamageIce,,
342,326 | 0146 | DamageIceJump,326,0146,DamageIceJump,,
343,327 | 0147 | CaptureMasterhand,327,0147,CaptureMasterhand,,
344,328 | 0148 | CapturedamageMasterhand,328,0148,CapturedamageMasterhand,,
345,329 | 0149 | CapturewaitMasterhand,329,0149,CapturewaitMasterhand,,
346,330 | 014A | ThrownMasterhand,330,014A,ThrownMasterhand,,
347,331 | 014B | CaptureKirbyYoshi,331,014B,CaptureKirbyYoshi,,
348,332 | 014C | KirbyYoshiEgg,332,014C,KirbyYoshiEgg,,
349,333 | 014D | CaptureLeadead,333,014D,CaptureLeadead,,
350,334 | 014E | CaptureLikelike,334,014E,CaptureLikelike,,
351,335 | 014F | DownReflect | A very rare action state where the character transitions from a DownBoundU or DownBoundD (missed tech) state into a wall bounce. This state is not techable and neither is the probable next floor hit. Most commonly encountered on Pokémon Stadium,335,014F,DownReflect,A very rare action state where the character transitions from a DownBoundU or DownBoundD (missed tech) state into a wall bounce. This state is not techable and neither is the probable next floor hit. Most commonly encountered on Pokémon Stadium,
352,336 | 0150 | CaptureCrazyhand,336,0150,CaptureCrazyhand,,
353,337 | 0151 | CapturedamageCrazyhand,337,0151,CapturedamageCrazyhand,,
354,338 | 0152 | CapturewaitCrazyhand,338,0152,CapturewaitCrazyhand,,
355,339 | 0153 | ThrownCrazyhand,339,0153,ThrownCrazyhand,,
356,340 | 0154 | BarrelCannonWait,340,0154,BarrelCannonWait,,
357,"341 | 0155 | Wait1 | No general action states at this point or later are used, it's all character-specific action states",341,0155,Wait1,"No general action states at this point or later are used, it's all character-specific action states",
358,342 | 0156 | Wait2,342,0156,Wait2,,
359,343 | 0157 | Wait3,343,0157,Wait3,,
360,344 | 0158 | Wait4,344,0158,Wait4,,
361,345 | 0159 | WaitItem,345,0159,WaitItem,,
362,346 | 015A | SquatWait1,346,015A,SquatWait1,,
363,347 | 015B | SquatWait2,347,015B,SquatWait2,,
364,348 | 015C | SquatWaitItem,348,015C,SquatWaitItem,,
365,349 | 015D | GuardDamage,349,015D,GuardDamage,,
366,350 | 015E | EscapeN,350,015E,EscapeN,,
367,351 | 015F | AttackS4Hold,351,015F,AttackS4Hold,,
368,352 | 0160 | HeavyWalk1,352,0160,HeavyWalk1,,
369,353 | 0161 | HeavyWalk2,353,0161,HeavyWalk2,,
370,354 | 0162 | ItemHammerWait,354,0162,ItemHammerWait,,
371,355 | 0163 | ItemHammerMove,355,0163,ItemHammerMove,,
372,356 | 0164 | ItemBlind,356,0164,ItemBlind,,
373,357 | 0165 | DamageElec,357,0165,DamageElec,,
374,358 | 0166 | FuraSleepStart,358,0166,FuraSleepStart,,
375,359 | 0167 | FuraSleepLoop,359,0167,FuraSleepLoop,,
376,360 | 0168 | FuraSleepEnd,360,0168,FuraSleepEnd,,
377,361 | 0169 | WallDamage,361,0169,WallDamage,,
378,362 | 016A | CliffWait1,362,016A,CliffWait1,,
379,363 | 016B | CliffWait2,363,016B,CliffWait2,,
380,364 | 016C | SlipDown,364,016C,SlipDown,,
381,365 | 016D | Slip,365,016D,Slip,,
382,366 | 016E | SlipTurn,366,016E,SlipTurn,,
383,367 | 016F | SlipDash,367,016F,SlipDash,,
384,368 | 0170 | SlipWait,368,0170,SlipWait,,
385,369 | 0171 | SlipStand,369,0171,SlipStand,,
386,370 | 0172 | SlipAttack,370,0172,SlipAttack,,
387,371 | 0173 | SlipEscapeF,371,0173,SlipEscapeF,,
388,372 | 0174 | SlipEscapeB,372,0174,SlipEscapeB,,
389,373 | 0175 | AppealS,373,0175,AppealS,,
390,374 | 0176 | Zitabata,374,0176,Zitabata,,
391,375 | 0177 | CaptureKoopaHit,375,0177,CaptureKoopaHit,,
392,376 | 0178 | ThrownKoopaEndF,376,0178,ThrownKoopaEndF,,
393,377 | 0179 | ThrownKoopaEndB,377,0179,ThrownKoopaEndB,,
394,378 | 017A | CaptureKoopaAirHit,378,017A,CaptureKoopaAirHit,,
395,379 | 017B | ThrownKoopaAirEndF,379,017B,ThrownKoopaAirEndF,,
396,380 | 017C | ThrownKoopaAirEndB,380,017C,ThrownKoopaAirEndB,,
397,381 | 017D | ThrownKirbyDrinkSShot,381,017D,ThrownKirbyDrinkSShot,,
398,382 | 017E | ThrownKirbySpitSShot,382,017E,ThrownKirbySpitSShot,,
